spkr_id,age,gender
pretrain-5915383724804706132,54,male
main-6116809530549314510,34,female
pretrain-5995495602293430914,36,male
main-6206329963396570837,62,male
pretrain-5937188844269852601,50,male
main-5931286270714889327,42,female
main-6076828968481690028,61,male
pretrain-5860049513646772348,34,male
pretrain-6294327400971101825,68,male
pretrain-5540815761450059421,60,female
main-5926330737448759342,46,male
pretrain-5973403149516905702,40,female
pretrain-6116855916196048235,55,male
main-6013589870014737316,38,male
pretrain-6293882871725478288,51,female
pretrain-6096001702490393156,59,male
main-6244922821531511558,45,male
main-6170914522067217718,42,male
main-5910180801422358015,54,female
main-6058985956346559235,48,female
main-6080791075811593672,51,male
main-6375516456127164915,41,male
pretrain-6244091745359735456,46,male
pretrain-6247899233867575718,64,male
pretrain-5686084010805947326,49,female
main-5997335566282974340,48,female
main-6382247528873432347,39,female
main-5861213020287198503,60,male
main-6369220893064682263,52,female
main-5922411150294425283,43,male
main-6380021017827118123,48,female
main-6204424286407333494,48,male
pretrain-6123925861862072950,47,male
pretrain-5929987472604579145,27,male
main-6175135615925731054,39,female
main-5860018589882241145,46,male
pretrain-5883454937926254358,26,female
pretrain-5983918517947051698,38,female
main-6220438930963943209,39,female
pretrain-6210377111079529580,53,male
main-6327713470253076639,45,male
main-5921197392536575591,51,female
pretrain-6034920825090317230,50,male
main-5863416338510046569,55,male
main-6130586067647917810,46,male
main-6351424266576959115,30,female
main-6251223538554747680,56,male
pretrain-6101336051872035625,49,female
pretrain-5958492741051464403,48,male
main-6103195343214410766,41,female
main-5663385967640050709,53,male
main-6232370350112213362,50,male
main-6113492956803278950,53,male
main-6236766678636402957,46,female
main-6084196555380596880,54,male
main-6364798794736649079,71,male
pretrain-5881893287817428595,35,male
pretrain-5934962333223604042,47,female
main-5726578680459550328,44,female
pretrain-6138042560370547560,41,male
main-6144714362568162658,48,male
pretrain-6017810964003677682,47,male
main-5994351423005710583,58,male
main-6172027777590340984,47,male
main-6201134770955325074,58,male
pretrain-5983607991811548308,51,male
pretrain-5982217710898488715,25,female
main-6103933648092657631,46,female
pretrain-5965163254758822214,55,male
pretrain-6039488522809549809,37,male
main-5687503926993979657,57,female
pretrain-5551009007333662603,50,male
main-5958066250929387863,54,male
pretrain-6126203912515865063,49,female
main-5859784084667878498,44,male
main-5867119459312658511,54,male
main-6010621188619735021,44,male
pretrain-6264961420947746164,31,male
pretrain-5886044803205743284,44,male
main-6014826820595920814,45,male
main-6129805242593572339,32,male
main-6024103949955297835,35,female
main-5695330216400759671,47,male
pretrain-6012550058432309954,53,male
pretrain-6107636768895203627,46,male
pretrain-5932956153999576296,39,female
pretrain-5880711742314295123,37,male
pretrain-5977385872820258148,62,female
pretrain-6242607404662236823,44,male
main-6060099211870336260,53,male
main-5866029396612933601,55,male
pretrain-5904227976750091269,52,male
main-6222939890420406825,54,male
pretrain-6226557970870496062,52,male
main-6109171360710104473,60,male
main-5923737006698702589,42,male
main-5935719965454554752,55,male
main-6212646142302074647,32,female
pretrain-6021135268560298943,61,male
main-5973918545591787964,48,male
main-5568055732531473539,54,male
main-5556181006951512202,50,male
pretrain-6043771464197193088,46,male
main-5963602893140182120,47,male
pretrain-6131395239486549066,36,female
pretrain-6175687089726472399,57,male
pretrain-5957264809901470946,53,male
pretrain-6076828968611457247,39,male
pretrain-5960558190824112934,50,male
main-6164085524066505766,43,female
pretrain-5985105217410931868,41,male
main-6160323132715208202,57,male
main-6075947641191920974,48,male
pretrain-5982878706364629395,46,male
main-5977512144728289991,57,male
pretrain-6155468101683834865,44,female
main-6231921955526512196,52,male
pretrain-6022203426926816347,36,female
main-5997030194108225012,45,male
main-6152870505463213376,43,male
pretrain-6053048593556497163,43,male
main-6172398862764715407,34,male
main-6127949816721699347,49,male
main-6224029953120131710,52,male
main-5854494832442852591,48,male
main-6364760140030989000,41,female
main-5987428365221274460,48,male
main-6232159037721250150,47,female
pretrain-5933122369233932002,59,male
pretrain-5674823895046013655,50,male
pretrain-6291656360679231767,46,male
main-5862666437220161189,44,male
main-5923910952874254645,37,male
main-5996643647051648786,46,male
main-6338130913429528164,57,male
pretrain-6129886417475464158,48,female
pretrain-5859001971123275383,56,female
main-5645952695385576008,54,male
main-6233055826892590338,43,male
pretrain-6086740035013227587,55,female
pretrain-5942376305769966502,52,male
pretrain-5960922833547543357,54,male
pretrain-6092058922512598240,47,male
pretrain-6095754312374143512,47,female
main-6030822137800415250,57,male
main-5739941612207593115,40,male
main-6356573073371408843,61,male
main-5869717055533282402,51,male
