database,sampleID,nframes,wav_path,lips_path,transcription_path,delimiter,text_enc,gender,age
LIP-RTVE,speaker000_0000,183,../data/LIP-RTVE/WAVs/speaker000/speaker000_0000.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0000.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0000.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0001,110,../data/LIP-RTVE/WAVs/speaker000/speaker000_0001.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0001.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0001.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0002,168,../data/LIP-RTVE/WAVs/speaker000/speaker000_0002.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0002.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0002.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0003,316,../data/LIP-RTVE/WAVs/speaker000/speaker000_0003.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0003.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0003.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0004,109,../data/LIP-RTVE/WAVs/speaker000/speaker000_0004.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0004.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0004.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0005,149,../data/LIP-RTVE/WAVs/speaker000/speaker000_0005.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0005.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0005.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0006,379,../data/LIP-RTVE/WAVs/speaker000/speaker000_0006.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0006.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0006.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0007,299,../data/LIP-RTVE/WAVs/speaker000/speaker000_0007.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0007.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0007.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0008,101,../data/LIP-RTVE/WAVs/speaker000/speaker000_0008.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0008.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0008.txt,5,utf-8,male,44
LIP-RTVE,speaker000_0009,261,../data/LIP-RTVE/WAVs/speaker000/speaker000_0009.wav,../data/LIP-RTVE/ROIs/speaker000/speaker000_0009.npz,../data/LIP-RTVE/transcriptions/speaker000/speaker000_0009.txt,5,utf-8,male,44
